Scenario,Model,level_2,GMR,Gini,Avg. NDCG@10,Job AHQ,User AHQ,Avg. User-side Rank,Avg. Job-side Rank,MJVD,Runtime,gini_evo,fairness_user.top_rate,fairness_user.bot_rate,fairness_user.top_ndcg,fairness_user.bot_ndcg,fairness_user.top_ahq,fairness_user.bot_ahq,fairness_user.top_rank,fairness_user.bot_rank,fairness_job.top_fill,fairness_job.bot_fill,fairness_job.top_ahq,fairness_job.bot_ahq,fairness_job.top_rank,fairness_job.bot_rank
blue_sea,MGO-Agent (Full),0,1.0,0.33319327731092435,0.9057365033494968,0.8403817038345701,0.8403817038345701,1.5,2.97,0.24121046252025302,451.3568878173828,"[0.41600000000000004, 0.34145299145299146, 0.33319327731092435]",1.0,1.0,1.0,0.8583247437591727,0.8725392812631103,0.8146419152679639,1.0,1.65,7.0,1.75,0.8584858749714359,0.8171356584468947,3.7857142857142856,1.2857142857142858
blue_sea,MGO-Agent (Full),1,1.0,0.3316793893129771,0.8852941499421256,0.8389323994473622,0.8389323994473622,1.84,2.81,0.23950385608102,516.4821147918701,"[0.41900000000000004, 0.3609243697478991, 0.35, 0.34765625, 0.34153846153846157, 0.3316793893129771]",1.0,1.0,0.9346268032608155,0.8389821033974456,0.8688560793912583,0.8093016884000919,1.25,2.3,5.75,3.25,0.8594313978940827,0.7927479618225514,3.347826086956522,1.3846153846153846
blue_sea,MGO-Agent (Full),2,1.0,0.42583892617449665,0.8403034879856225,0.832078030116914,0.832078030116914,1.93,2.64,0.2472050489738606,441.2392775217692,"[0.508, 0.496875, 0.4535211267605634, 0.4472602739726027, 0.42583892617449665]",1.0,1.0,0.9393441872590709,0.7305816377565615,0.8661539773091542,0.7951996355890929,1.4,2.7,7.0,2.25,0.8627028703961004,0.8162900732341559,4.0,1.4444444444444444
blue_sea,MGO-Agent (Full),3,1.0,0.43571428571428567,0.8526089547927752,0.8324628711217124,0.8324628711217124,1.87,2.48,0.24686036888246554,431.9798946380615,"[0.507, 0.4592307692307692, 0.4449275362318841, 0.4366197183098592, 0.43472222222222223, 0.4382758620689655, 0.4417808219178082, 0.43571428571428567]",1.0,1.0,0.9223197315178593,0.7578356628189747,0.8593849445881723,0.7947003040991399,1.5,2.65,5.75,2.75,0.8603870410654454,0.7817201845015677,3.782608695652174,1.1818181818181819
blue_sea,MGO-Agent (Full),4,0.99,0.37480620155038763,0.878704992877799,0.8375986198519835,0.8375986198519835,1.6363636363636365,3.0505050505050506,0.24030711388297718,439.5172595977783,"[0.396, 0.362280701754386, 0.34243697478991597, 0.3524793388429752, 0.3621951219512195, 0.3564, 0.36111111111111105, 0.36574803149606294, 0.3703125, 0.37480620155038763]",1.0,0.95,0.9077324383928644,0.7876969305097575,0.8704298728262447,0.7945909339499684,1.25,2.3684210526315788,7.0,3.25,0.8607160492259165,0.7993130867137702,3.7857142857142856,1.9230769230769231
blue_sea,Top-k Greedy,0,0.83,0.6895256916996046,1.0,0.8501657991177505,0.8501657991177505,1.0,3.2048192771084336,0.24121046252025302,0.0024262596579159006,"[0.40800000000000003, 0.4756410256410256, 0.5261194029850746, 0.5652317880794702, 0.5964285714285714, 0.6218918918918919, 0.6430693069306931, 0.6609589041095891, 0.6762711864406781, 0.6895256916996046]",1.0,0.7,1.0,1.0,0.8725392812631103,0.8292517031223314,1.0,1.0,6.5,1.25,0.8628557507654762,0.836328862653354,3.8076923076923075,1.4
blue_sea,Top-k Greedy,1,0.83,0.6725296442687747,1.0,0.8510056896496829,0.8510056896496829,1.0,3.253012048192771,0.22627877301679558,0.0024262596579159006,"[0.41, 0.47307692307692306, 0.5201492537313432, 0.5566225165562914, 0.5857142857142856, 0.6094594594594595, 0.6292079207920792, 0.6458904109589041, 0.6601694915254237, 0.6725296442687747]",1.0,0.75,1.0,1.0,0.8714507225619167,0.8258783965156847,1.0,1.0,6.0,1.0,0.8601330130538853,0.842478135452382,3.625,1.5
blue_sea,Top-k Greedy,2,0.74,0.7631736526946108,1.0,0.8476314711026962,0.8476314711026962,1.0,3.0675675675675675,0.24559572317604617,0.002301656282865084,"[0.488, 0.569047619047619, 0.6223684210526316, 0.6601123595505618, 0.6882352941176471, 0.71, 0.72734375, 0.7414893617021276, 0.7532467532467532, 0.7631736526946108]",0.9,0.6,1.0,1.0,0.8729637192876791,0.8233796303093159,1.0,1.0,7.0,1.75,0.8609023177112232,0.8284125656867384,4.0,1.7142857142857142
blue_sea,Top-k Greedy,3,0.73,0.7756559766763849,1.0,0.8469763625224517,0.8469763625224517,1.0,2.9315068493150687,0.24686036888246554,0.002304712931315104,"[0.47800000000000004, 0.5673228346456692, 0.6253246753246753, 0.6660220994475138, 0.6961538461538461, 0.7193617021276596, 0.7377862595419847, 0.7527681660899654, 0.7651898734177215, 0.7756559766763849]",0.9,0.6,1.0,1.0,0.8646898481313512,0.8220341510722955,1.0,1.0,6.0,1.0,0.8603455832756373,0.8397668567343116,3.75,1.0
blue_sea,Top-k Greedy,4,0.76,0.7506329113924051,1.0,0.8484111010690379,0.8484111010690379,1.0,3.0526315789473686,0.23849303017730444,0.002284844716389974,"[0.46399999999999997, 0.5451612903225806, 0.6, 0.6395348837209303, 0.6693877551020408, 0.6927272727272727, 0.7114754098360656, 0.726865671641791, 0.7397260273972602, 0.7506329113924051]",0.8,0.6,1.0,1.0,0.8784636463522071,0.812340397943882,1.0,1.0,7.0,1.5,0.8655845595635456,0.823473027862713,4.0,2.0
multi_polar,MGO-Agent (Full),0,1.0,0.417065868263473,0.8069514698607858,0.9247965610398429,0.9247965610398429,2.33,3.06,0.23966999908385067,431.0340881347656,"[0.605, 0.5018248175182481, 0.44423076923076926, 0.43888888888888894, 0.42469879518072295, 0.417065868263473]",1.0,1.0,0.8248659481908994,0.7585836031946875,0.9500659239084535,0.8718599785166061,2.15,3.25,7.0,2.5,0.980292817195062,0.7715475174065689,3.7857142857142856,1.5
multi_polar,MGO-Agent (Full),1,1.0,0.4028662420382165,0.8163972741447467,0.9198072023083482,0.9198072023083482,2.23,3.0,0.2521904379058859,443.33549340566,"[0.592, 0.5067164179104477, 0.4493377483443709, 0.4028662420382165]",1.0,1.0,0.7569809685833181,0.848713694067948,0.9031869608478464,0.9111106791191181,2.8,1.8,6.0,3.5,0.9725718973953339,0.8203148806222413,3.625,2.357142857142857
multi_polar,MGO-Agent (Full),2,1.0,0.4089285714285714,0.8142542897535211,0.9323215830708907,0.9323215830708907,2.06,3.11,0.22417974966471343,433.5062503814697,"[0.611, 0.5003649635036497, 0.4372611464968153, 0.41564417177914115, 0.4203030303030303, 0.41526946107784435, 0.4089285714285714]",1.0,1.0,0.8042662662965341,0.690490611751309,0.9531452146498042,0.8576005926796286,1.7,3.5,7.0,1.25,0.9131397170640486,0.7781321275401545,3.0714285714285716,1.2
multi_polar,MGO-Agent (Full),3,1.0,0.38764705882352946,0.7925924824988073,0.9211145437263784,0.9211145437263784,2.7,3.09,0.2244617130239105,437.38698959350586,"[0.5860000000000001, 0.5003759398496241, 0.42435897435897435, 0.4081818181818182, 0.3937869822485207, 0.38764705882352946]",1.0,1.0,0.7782230662304063,0.7377721390847465,0.9386431777540276,0.862610876621193,3.0,3.1,7.0,4.5,0.974205334337155,0.7942008269068559,3.2142857142857144,2.5555555555555554
multi_polar,MGO-Agent (Full),4,0.99,0.4297752808988764,0.7643739870476612,0.9090036697120583,0.9090036697120583,2.6161616161616164,2.8686868686868685,0.2537708374191319,451.7822265625,"[0.63, 0.5228571428571429, 0.45061728395061723, 0.428698224852071, 0.4244186046511628, 0.4183908045977011, 0.4208571428571428, 0.42386363636363633, 0.4268361581920904, 0.4297752808988764]",1.0,1.0,0.7821139187628874,0.7670624189796882,0.9300859887386735,0.8928349016228159,2.6,2.3,7.0,5.25,0.9718630750797258,0.8961027279599675,3.7857142857142856,2.8095238095238093
multi_polar,Top-k Greedy,0,0.67,0.7240554156171285,1.0,0.9607538862639325,0.9607538862639325,1.0,3.4328358208955225,0.23662694378479562,0.0021457672119140625,"[0.575, 0.6244360902255639, 0.6542168674698795, 0.6741206030150754, 0.6883620689655172, 0.6990566037735849, 0.7073825503355705, 0.7140483383685801, 0.7195054945054945, 0.7240554156171285]",0.65,0.7,1.0,1.0,0.9825329100716773,0.9225845543212395,1.0,1.0,6.0,0.5,0.9807239326041186,0.8335547424150604,3.75,1.0
multi_polar,Top-k Greedy,1,0.72,0.6928977272727274,1.0,0.9587373255267297,0.9587373255267297,1.0,3.5555555555555554,0.24967491965021002,0.0022564615522112164,"[0.54, 0.58671875, 0.6166666666666667, 0.6375, 0.6528301886792452, 0.6645833333333334, 0.6738805970149253, 0.6814189189189189, 0.6876543209876542, 0.6928977272727274]",0.65,0.7,1.0,1.0,0.9604569276237718,0.9336581571479633,1.0,1.0,7.0,1.25,0.9735511840318863,0.8493339617501399,4.0,2.2
multi_polar,Top-k Greedy,2,0.63,0.7345265588914549,1.0,0.9650172109288535,0.9650172109288535,1.0,3.5238095238095237,0.2141504134473401,0.0022939733556798987,"[0.611, 0.6543795620437957, 0.6793103448275862, 0.6954976303317535, 0.7068548387096774, 0.7152631578947368, 0.7217391304347827, 0.7268802228412257, 0.7310606060606061, 0.7345265588914549]",0.55,0.5,1.0,1.0,0.9788689575478616,0.9260557319222817,1.0,1.0,4.0,0.0,0.9477281892765951,0.0,3.3125,0.0
multi_polar,Top-k Greedy,3,0.67,0.72455919395466,1.0,0.9619953473331374,0.9619953473331374,1.0,3.5522388059701493,0.2111490360173797,0.0022107904607599435,"[0.5860000000000001, 0.631954887218045, 0.6596385542168675, 0.6781407035175879, 0.6913793103448276, 0.7013207547169811, 0.7090604026845637, 0.7152567975830816, 0.7203296703296703, 0.72455919395466]",0.65,0.6,1.0,1.0,0.982146326000226,0.9221833822392357,1.0,1.0,5.5,0.75,0.9735858706218611,0.8436136975749977,3.5,1.3333333333333333
multi_polar,Top-k Greedy,4,0.68,0.7262886597938144,1.0,0.958998456628108,0.958998456628108,1.0,3.5441176470588234,0.24923524020651797,0.002652406692504883,"[0.577, 0.6257575757575757, 0.6554878048780488, 0.6755102040816328, 0.6899122807017544, 0.7007692307692308, 0.7092465753424657, 0.7160493827160493, 0.7216292134831461, 0.7262886597938144]",0.65,0.75,1.0,1.0,0.9680406361183583,0.9444062487555296,1.0,1.0,6.5,3.5,0.9721648200952653,0.9563498757387274,3.8076923076923075,4.0
