p_accept,level_1,GMR,Gini,Avg. NDCG@10,Job AHQ,User AHQ,Avg. User-side Rank,Avg. Job-side Rank,MJVD,Runtime,gini_evo,fairness_user.top_rate,fairness_user.bot_rate,fairness_user.top_ndcg,fairness_user.bot_ndcg,fairness_user.top_ahq,fairness_user.bot_ahq,fairness_user.top_rank,fairness_user.bot_rank,fairness_job.top_fill,fairness_job.bot_fill,fairness_job.top_ahq,fairness_job.bot_ahq,fairness_job.top_rank,fairness_job.bot_rank
0.5,2,0.98,0.6645251396648044,0.5435165179009714,0.8354402647423997,0.8354402647423997,7.224489795918367,3.0306122448979593,0.2366788160579732,407.03505277633667,"[0.775, 0.790127388535032, 0.7632701421800948, 0.7440711462450593, 0.7270833333333334, 0.7104430379746836, 0.6832344213649851, 0.6782420749279539, 0.6700564971751413, 0.6645251396648044]",1.0,1.0,0.5678103593554011,0.9289064826317887,0.8715989523817814,0.8239600005443004,8.0,1.9,7.0,5.0,0.9838943399406934,0.727268717435662,3.4642857142857144,3.15
0.5,3,0.99,0.6071906354515051,0.5375985096515886,0.8182952093195132,0.8182952093195132,7.484848484848484,3.3636363636363638,0.23831360210743915,541.2529706954956,"[0.716, 0.7506578947368421, 0.7072864321608041, 0.6844827586206896, 0.663953488372093, 0.6427797833935018, 0.6226643598615917, 0.6146258503401361, 0.6112794612794612, 0.6071906354515051]",1.0,0.95,0.5851158842010136,0.505501563321243,0.8359976860456044,0.7631774180435092,8.0,7.473684210526316,7.0,6.25,0.9736476881126356,0.6905378072359909,4.0,3.6
0.5,4,0.97,0.6332786885245902,0.5740618471725855,0.8543955099156766,0.8543955099156766,6.11340206185567,2.484536082474227,0.23269630493625276,466.6906992594401,"[0.756, 0.7615384615384615, 0.7236842105263157, 0.6851020408163265, 0.6698501872659175, 0.6535460992907801, 0.6448453608247423, 0.6389261744966442, 0.635430463576159, 0.6332786885245902]",1.0,1.0,0.4213665352403164,0.8351158842010135,0.8517849673370821,0.8298981315344467,7.9,3.05,7.0,4.5,0.9801504453185812,0.7654887435841801,3.642857142857143,2.111111111111111
0.7,0,1.0,0.5719931271477663,0.5118929209203071,0.8172658582946472,0.8172658582946472,7.51,2.73,0.24876040164471855,413.1438732147217,"[0.752, 0.7525477707006369, 0.6966666666666667, 0.6524489795918367, 0.621268656716418, 0.5951957295373665, 0.579861111111111, 0.5751724137931035, 0.5719931271477663]",1.0,1.0,0.6057896495923585,0.7375573416043103,0.8668255992347836,0.8090790675400081,6.25,3.6,7.0,5.5,0.9835958299263721,0.6830600595342093,4.0,3.1818181818181817
0.7,1,1.0,0.5775471698113208,0.5335454907311842,0.8296788158441848,0.8296788158441848,7.1,3.15,0.23792337669291933,414.0545129776001,"[0.749, 0.753896103896104, 0.6631067961165049, 0.6352173913043478, 0.6212550607287449, 0.5913127413127414, 0.5857414448669201, 0.5775471698113208]",1.0,1.0,0.5020687893773107,0.8517782560805998,0.8561231485815135,0.8404021718970455,7.15,2.2,7.0,6.25,0.9793640971901005,0.7152746611401859,4.0,2.6
0.7,2,1.0,0.6173854447439353,0.49923731704542085,0.8254397938259097,0.8254397938259097,7.85,3.15,0.23312001515615524,419.20173168182373,"[0.782, 0.7949367088607595, 0.747196261682243, 0.7085271317829458, 0.687542662116041, 0.6645962732919255, 0.6473837209302326, 0.6388268156424581, 0.629291553133515, 0.6173854447439353]",1.0,1.0,0.5564956400788553,0.925,0.8729597414014553,0.8232601984156386,7.2,1.85,6.5,6.25,0.9843134430183019,0.7173129621598848,3.4615384615384617,3.16
0.7,3,0.99,0.5922872340425532,0.5341962828280271,0.8171550404729888,0.8171550404729888,7.474747474747475,3.303030303030303,0.23714368060267899,444.4412589073181,"[0.716, 0.7651315789473684, 0.7801507537688442, 0.741869918699187, 0.7057894736842105, 0.6824921135646689, 0.6444444444444445, 0.6285515320334262, 0.6005376344086022, 0.5922872340425532]",1.0,0.95,0.598249122993516,0.5227347236439704,0.8450694185769831,0.7622640049647892,7.15,7.2105263157894735,7.0,6.25,0.9736476881126356,0.6987867380873201,4.0,3.36
0.7,4,1.0,0.5842281879194631,0.5584747675766628,0.8506357135728889,0.8506357135728889,6.21,2.85,0.23269630493625276,579.1139602661133,"[0.77, 0.7619496855345912, 0.7063981042654028, 0.6855102040816327, 0.6415750915750916, 0.597766323024055, 0.5938775510204082, 0.5877104377104377, 0.5842281879194631]",1.0,1.0,0.4864269608739605,0.868699487395701,0.8716751890694621,0.836130548059641,6.65,2.0,7.0,5.0,0.9799748510765901,0.7599379022400738,3.642857142857143,3.0
0.9,0,1.0,0.5563197026022305,0.5119806746179479,0.8217489832625567,0.8217489832625567,7.4,2.99,0.24876040164471855,478.4519672393799,"[0.752, 0.7601910828025478, 0.6944976076555024, 0.6326446280991735, 0.5793893129770993, 0.5611940298507463, 0.5563197026022305]",1.0,1.0,0.578029467982525,0.7526088413875094,0.8670595905850471,0.812412048469659,7.15,3.2,7.0,6.0,0.9835958299263721,0.6911432080393501,4.0,3.75
0.9,1,0.99,0.5571729957805907,0.5552351270347816,0.8336319779176743,0.8336319779176743,6.666666666666667,3.1414141414141414,0.2390806175692915,470.7458019256592,"[0.749, 0.7448051948051948, 0.6228155339805825, 0.5809417040358744, 0.5590909090909091, 0.5555793991416309, 0.555982905982906, 0.5563829787234043, 0.5567796610169491, 0.5571729957805907]",1.0,0.95,0.5220925740834841,0.8966086906111577,0.8599072655804447,0.8483928330006277,6.55,1.5263157894736843,7.0,5.0,0.9793640971901005,0.7195056185042236,4.0,2.6
0.9,2,1.0,0.5892757660167132,0.47358247061294784,0.8211799091254677,0.8211799091254677,7.94,3.2,0.2366788160579732,524.7235298156738,"[0.8019999999999999, 0.82125, 0.7655251141552512, 0.7241573033707865, 0.6806188925081433, 0.634660766961652, 0.6032394366197182, 0.5892757660167132]",1.0,1.0,0.5258382804405823,0.931119907982561,0.8707141097421056,0.8248346153850891,7.25,1.75,5.75,6.25,0.9846070187663544,0.7265868298294623,3.739130434782609,3.16
0.9,3,1.0,0.590406976744186,0.5323663378985561,0.8179353815748498,0.8179353815748498,7.36,3.24,0.23714368060267899,457.01873302459717,"[0.716, 0.7638157894736842, 0.7823232323232323, 0.7434426229508196, 0.7039007092198581, 0.6525641025641026, 0.6289634146341464, 0.6026470588235294, 0.590406976744186]",1.0,1.0,0.5837958816776215,0.4959997289944672,0.8441037647060001,0.754311819231518,7.3,8.05,7.0,6.5,0.9736476881126356,0.6982229754691728,4.0,3.0384615384615383
0.9,4,1.0,0.5888059701492537,0.5599113741636782,0.8510467446871055,0.8510467446871055,6.19,2.83,0.2326963049362528,463.9849662780762,"[0.7859999999999999, 0.7731250000000001, 0.7617924528301886, 0.7106060606060606, 0.6629139072847682, 0.6073170731707317, 0.5919161676646707, 0.5888059701492537]",1.0,1.0,0.5374349434396785,0.8702317684020269,0.8776849463198136,0.836321756347397,5.5,2.1,7.0,4.75,0.9793722324595819,0.7586750200589085,3.7857142857142856,2.210526315789474
1.0,0,1.0,0.5328897338403042,0.5381899993584629,0.8268695707004935,0.8268695707004935,6.67,2.93,0.24876040164471855,502.0343462626139,"[0.752, 0.7621019108280255, 0.6710526315789475, 0.5985477178423236, 0.5415384615384615, 0.5328897338403042]",1.0,1.0,0.6136501866933273,0.7375573416043103,0.8822318555188577,0.8000367962624095,5.55,4.4,7.0,5.0,0.9835958299263721,0.677953621340716,4.0,2.8
1.0,1,1.0,0.5389830508474576,0.5358937505256958,0.8304113149901806,0.8304113149901806,7.01,3.13,0.2390806175692915,436.43689155578613,"[0.749, 0.753896103896104, 0.6300970873786408, 0.5733480176211454, 0.544468085106383, 0.5389830508474576]",1.0,1.0,0.47201861405678747,0.8684449227472664,0.8518905218268223,0.844358409898582,7.7,1.8,7.0,6.0,0.9793640971901005,0.721425832372038,4.0,3.0833333333333335
1.0,2,1.0,0.5726912928759894,0.45446605558316777,0.8177458513552515,0.8177458513552515,8.16,3.37,0.24095899586405792,495.40162086486816,"[0.8019999999999999, 0.821875, 0.7732876712328768, 0.731203007518797, 0.6916393442622951, 0.6467359050445104, 0.6183473389355743, 0.594743935309973, 0.5726912928759894]",1.0,1.0,0.5258382804405823,0.9166666666666666,0.8712960903056286,0.8243866260027849,7.2,1.9,5.25,6.0,0.9847808380951878,0.7303655799515273,4.0,3.1666666666666665
1.0,3,1.0,0.5799418604651163,0.5319236528284018,0.8190532734505709,0.8190532734505709,7.27,3.21,0.23831360210743915,886.4289919535319,"[0.716, 0.7644736842105264, 0.7808080808080808, 0.7405737704918033, 0.7021276595744681, 0.6468051118210862, 0.6166666666666667, 0.589882697947214, 0.5799418604651163]",1.0,1.0,0.598249122993516,0.4959997289944673,0.8446896973930317,0.7595152032109872,7.2,7.7,7.0,6.5,0.9736476881126356,0.6977485980036555,4.0,2.8461538461538463
1.0,4,1.0,0.5801948051948052,0.535167057573759,0.8477900123686447,0.8477900123686447,6.69,2.67,0.2326963049362528,561.5142583847046,"[0.788, 0.774074074074074, 0.747196261682243, 0.6957692307692308, 0.6179180887372013, 0.5914473684210526, 0.5801948051948052]",1.0,1.0,0.5186905615452561,0.8702317684020269,0.8756316458900282,0.836321756347397,5.95,2.1,7.0,6.0,0.9792452720009714,0.7539756968174659,3.4285714285714284,3.0
