alpha,level_1,GMR,Gini,Avg. NDCG@10,Job AHQ,User AHQ,Avg. User-side Rank,Avg. Job-side Rank,MJVD,Runtime,gini_evo,fairness_user.top_rate,fairness_user.bot_rate,fairness_user.top_ndcg,fairness_user.bot_ndcg,fairness_user.top_ahq,fairness_user.bot_ahq,fairness_user.top_rank,fairness_user.bot_rank,fairness_job.top_fill,fairness_job.bot_fill,fairness_job.top_ahq,fairness_job.bot_ahq,fairness_job.top_rank,fairness_job.bot_rank
0.2,1,0.97,0.6198961937716263,0.5435866530289538,0.8326100338545752,0.8326100338545752,6.917525773195877,2.917525773195876,0.23792337669291933,443.2667096455892,"[0.749, 0.7493506493506493, 0.6533980582524272, 0.6512987012987013, 0.6511904761904762, 0.6328996282527881, 0.6155913978494624, 0.6143109540636043, 0.6171328671328672, 0.6198961937716263]",1.0,1.0,0.45381966638379484,0.8517782560805998,0.8465735384630919,0.8404021718970455,8.15,2.2,7.0,5.25,0.9793640971901005,0.7185231392900068,4.0,1.8095238095238095
0.2,2,0.97,0.6593922651933701,0.529281368134078,0.8295220348968254,0.8295220348968254,7.371134020618556,3.082474226804124,0.2366788160579732,437.83116340637207,"[0.8019999999999999, 0.821875, 0.767351598173516, 0.7318181818181818, 0.7091973244147157, 0.6854740061162079, 0.6663265306122449, 0.661965811965812, 0.6623249299719888, 0.6593922651933701]",1.0,1.0,0.5722688839181418,0.9166666666666666,0.8782163804713982,0.8236437676570059,6.8,1.95,6.5,5.25,0.9840904266222565,0.7134084220267068,3.5,3.1904761904761907
0.2,3,0.98,0.6468023255813954,0.5382502076712721,0.8205340096832362,0.8205340096832362,7.275510204081633,3.142857142857143,0.23714368060267899,431.23555183410645,"[0.716, 0.7572368421052632, 0.7753807106598984, 0.743801652892562, 0.7137992831541219, 0.6859477124183007, 0.6822981366459627, 0.6586309523809524, 0.6456140350877193, 0.6468023255813954]",1.0,0.95,0.5837958816776215,0.5221049778889129,0.8475042271889249,0.7638739058935157,6.95,7.2105263157894735,7.0,6.75,0.9736476881126356,0.6981855718467391,4.0,2.7777777777777777
0.2,4,1.0,0.6204109589041096,0.5416225461045471,0.8465220438943908,0.8465220438943908,6.66,2.98,0.2326963049362528,419.56400871276855,"[0.7849999999999999, 0.79, 0.7700934579439253, 0.7279026217228465, 0.6948387096774193, 0.6619883040935672, 0.6338440111420612, 0.6236263736263736, 0.6204109589041096]",1.0,1.0,0.5208211010188867,0.9008891280402999,0.8703157193188149,0.8370433412537341,6.4,1.85,7.0,5.0,0.9743869283277551,0.7588859707852081,3.7857142857142856,2.75
0.25,0,1.0,0.6110932475884244,0.5292982949309237,0.8224538383693633,0.8224538383693633,7.16,2.64,0.2547951327939637,530.6394100189209,"[0.745, 0.7589171974522293, 0.7038095238095238, 0.6676229508196722, 0.6608208955223881, 0.6354671280276817, 0.6266666666666667, 0.6179738562091504, 0.6156957928802589, 0.6110932475884244]",1.0,1.0,0.5917655963056967,0.7560108539257374,0.8633557293336145,0.808117311570394,6.95,3.65,7.0,5.75,0.9835958299263721,0.6774045870261228,4.0,2.130434782608696
0.25,1,1.0,0.5898523985239852,0.5282216712803202,0.8285091364788871,0.8285091364788871,7.14,3.16,0.23792337669291933,429.5501708984375,"[0.749, 0.75, 0.6728155339805826, 0.6440425531914894, 0.6318181818181818, 0.6030075187969925, 0.5940740740740741, 0.5898523985239852]",1.0,1.0,0.4731623067455219,0.8324356157188728,0.8492889223248969,0.8302734218541126,7.8,2.8,7.0,6.0,0.9793640971901005,0.712619911755317,4.0,2.25
0.25,2,0.99,0.636737400530504,0.4998888716955287,0.8234658031003023,0.8234658031003023,7.686868686868687,3.121212121212121,0.2366788160579732,503.34322452545166,"[0.8019999999999999, 0.811875, 0.7587155963302752, 0.7241444866920153, 0.7102006688963212, 0.6901215805471125, 0.6642450142450143, 0.6546575342465754, 0.645710455764075, 0.636737400530504]",1.0,1.0,0.5916115242798687,0.9394532413158944,0.8849759665001595,0.826449618859326,6.2,1.55,6.0,5.75,0.9845545285642129,0.7203427404147016,3.625,2.9130434782608696
0.25,3,0.97,0.6473837209302326,0.5368747246174321,0.8189574166280521,0.8189574166280521,7.443298969072165,3.185567010309278,0.23714368060267893,416.32699966430664,"[0.716, 0.7493421052631579, 0.7693877551020408, 0.7291666666666666, 0.7183636363636363, 0.6921052631578947, 0.6684615384615384, 0.6532738095238095, 0.648533724340176, 0.6473837209302326]",0.95,0.95,0.6311253952809558,0.4895278945086306,0.8542074200053202,0.764131579179317,6.526315789473684,7.315789473684211,7.0,6.5,0.9736476881126356,0.6921062386656013,4.0,3.269230769230769
0.25,4,0.99,0.6103825136612022,0.5635050253701623,0.8496535486872857,0.8496535486872857,6.303030303030303,2.5656565656565657,0.23450120280919173,408.45179557800293,"[0.7849999999999999, 0.788125, 0.7607476635514019, 0.7205660377358492, 0.6840983606557377, 0.6482035928143712, 0.6314285714285715, 0.6229805013927576, 0.6097260273972603, 0.6103825136612022]",1.0,0.95,0.5220882792964039,0.9483043453055788,0.8775244264461921,0.8413495079477042,5.9,1.263157894736842,7.0,5.0,0.9743869283277551,0.7591592078212663,3.7857142857142856,2.45
0.3,0,0.99,0.6123239436619718,0.5436469387071264,0.8263899201040871,0.8263899201040871,6.717171717171717,2.686868686868687,0.2547951327939637,399.5659351348877,"[0.745, 0.7576433121019108, 0.6842857142857144, 0.6575, 0.6251908396946565, 0.6209558823529412, 0.614748201438849, 0.6144128113879004, 0.6114840989399293, 0.6123239436619718]",1.0,1.0,0.6113628013158583,0.7862373390809183,0.8826239613780704,0.8077699202239227,5.45,3.45,7.0,4.5,0.9835958299263721,0.6731474925648308,4.0,2.5
0.3,1,1.0,0.6042857142857143,0.5299994743688882,0.828898083067163,0.828898083067163,7.09,2.77,0.23792337669291933,432.26802349090576,"[0.749, 0.7415584415584415, 0.6612745098039217, 0.6526315789473685, 0.6407258064516129, 0.6263358778625954, 0.6190036900369004, 0.6105072463768116, 0.612589928057554, 0.6042857142857143]",1.0,1.0,0.48625957688974797,0.8517782560805998,0.854016851621064,0.8404021718970455,7.25,2.2,7.0,6.25,0.9793640971901005,0.7156667556319433,4.0,2.16
0.3,2,1.0,0.635792349726776,0.50569003717968,0.8253470056595321,0.8253470056595321,7.66,2.72,0.2366788160579732,432.1563243865967,"[0.8019999999999999, 0.8099999999999999, 0.7573394495412844, 0.7219696969696969, 0.6956666666666667, 0.6791411042944786, 0.67, 0.6516806722689076, 0.6417355371900826, 0.635792349726776]",1.0,1.0,0.573162306745522,0.925,0.8828607119847117,0.8252587711312428,6.3,1.75,6.25,5.75,0.9838301973147736,0.714424546519428,3.56,2.5217391304347827
0.3,3,0.94,0.6508955223880597,0.5654975299176592,0.8266995313075568,0.8266995313075568,6.882978723404255,3.0319148936170213,0.23714368060267893,410.73834896087646,"[0.716, 0.7572368421052632, 0.7439086294416244, 0.7154008438818564, 0.678996282527881, 0.663103448275862, 0.6555555555555556, 0.6525157232704403, 0.6542813455657492, 0.6508955223880597]",1.0,0.85,0.5802264851551808,0.5707245696482512,0.8425133007768995,0.7688951103246828,7.4,6.705882352941177,7.0,6.25,0.9736476881126356,0.696550589853336,4.0,2.88
0.3,4,0.98,0.6147222222222222,0.552085885340038,0.8503596693254554,0.8503596693254554,6.1938775510204085,2.86734693877551,0.23450120280919173,409.8714590072632,"[0.7849999999999999, 0.79, 0.775233644859813, 0.7212686567164178, 0.680944625407166, 0.649099099099099, 0.6278097982708933, 0.6208215297450426, 0.6134078212290504, 0.6147222222222222]",1.0,0.95,0.5220053934192622,0.9317009307379088,0.8765999832612528,0.839398477789481,5.85,1.5789473684210527,7.0,4.75,0.9743869283277551,0.7634733004409835,3.7857142857142856,2.4210526315789473
0.4,0,0.98,0.601685393258427,0.5630633930630756,0.8303187613544585,0.8303187613544585,6.377551020408164,2.9285714285714284,0.25046261523117197,407.64451026916504,"[0.745, 0.7614649681528662, 0.667142857142857, 0.6367521367521367, 0.6123999999999999, 0.5988372093023255, 0.5971264367816091, 0.5986692015209125, 0.6001886792452831, 0.601685393258427]",1.0,1.0,0.6265711470028956,0.7729277904537584,0.886388413928256,0.8095320590076935,5.15,3.6,7.0,4.25,0.9835958299263721,0.6757658393825048,4.0,2.823529411764706
0.4,1,1.0,0.6063706563706563,0.5270735641387777,0.8272494209722587,0.8272494209722587,7.12,2.99,0.23792337669291933,412.80508041381836,"[0.749, 0.7487012987012986, 0.6642156862745099, 0.6561674008810573, 0.6504098360655737, 0.612890625, 0.6112403100775194, 0.6063706563706563]",1.0,1.0,0.48854696226721683,0.8324356157188728,0.851957502647174,0.8297488384044968,7.35,2.85,7.0,6.25,0.9793640971901005,0.710804409466697,4.0,2.64
0.4,2,0.99,0.6360824742268041,0.49396300051819525,0.8226689232106329,0.8226689232106329,7.94949494949495,3.111111111111111,0.2366788160579732,410.3420575459798,"[0.8019999999999999, 0.8099999999999999, 0.7591743119266054, 0.7310606060606061, 0.7105960264900663, 0.6940119760479042, 0.6731843575418994, 0.6596, 0.6406493506493507, 0.6360824742268041]",1.0,1.0,0.5258382804405823,0.925,0.8686664760245579,0.8260016294770217,7.5,1.7,6.0,5.75,0.9845607955131296,0.7180204170822313,3.625,3.130434782608696
0.4,3,0.97,0.6180781758957654,0.5578686508537415,0.8236481056946061,0.8236481056946061,7.010309278350515,3.2577319587628866,0.23714368060267893,402.09102630615234,"[0.716, 0.7473684210526316, 0.721938775510204, 0.6775862068965518, 0.6546692607003891, 0.6456363636363636, 0.6299307958477509, 0.6228187919463087, 0.6164473684210526, 0.6180781758957654]",1.0,0.85,0.6153423693561944,0.5649723354766832,0.8507450956105018,0.7692506140762045,6.65,6.764705882352941,7.0,5.75,0.9736476881126356,0.6909397270901614,4.0,3.260869565217391
0.4,4,1.0,0.6075999999999999,0.5522183596650049,0.8477893714424017,0.8477893714424017,6.42,2.83,0.2326963049362528,423.30455780029297,"[0.7849999999999999, 0.791875, 0.7738317757009346, 0.7279026217228465, 0.6853697749196141, 0.6544117647058824, 0.6327777777777778, 0.6154054054054054, 0.6132707774798928, 0.6075999999999999]",1.0,1.0,0.5352743423347811,0.899356847033974,0.8778640604751115,0.8363264711488423,5.55,1.95,7.0,5.25,0.9743869283277551,0.7576840804538486,3.7857142857142856,2.380952380952381
